"Description","Level","ModuleColor","Count","pvalue","geneID"
"ascorbate-based redox regulation","level2","darkred",26,0.00410648548370447,"TraesCS1B02G059100/TraesCS2D02G593400/TraesCS3A02G190800/TraesCS3B02G039000/TraesCS3D02G036100/TraesCS3D02G194700/TraesCS4A02G094000/TraesCS4A02G303300/TraesCS4D02G009200/TraesCS4D02G102200/TraesCS4D02G150300/TraesCS4D02G151200/TraesCS4D02G211100/TraesCS5A02G113100/TraesCS5A02G302400/TraesCS5B02G111700/TraesCS5B02G302500/TraesCS7A02G190700/TraesCS7A02G272200/TraesCS7A02G304000/TraesCS7A02G328700/TraesCS7B02G169800/TraesCS7B02G199100/TraesCS7B02G229400/TraesCS7D02G272500/TraesCS7D02G299500"
"mitochondrion/peroxisome binary fission","level2","darkred",9,0.00563794703478761,"TraesCS2A02G295800/TraesCS2B02G312100/TraesCS2D02G279900/TraesCS3D02G180300/TraesCS3D02G423500/TraesCS4A02G442900/TraesCS4D02G187900/TraesCS5D02G477600/TraesCS7D02G258200"
"light","level2","darkred",24,0.00664922239068424,"TraesCS1A02G229800/TraesCS2A02G499700/TraesCS2D02G317500/TraesCS4A02G060100/TraesCS4A02G060200/TraesCS4A02G096100/TraesCS4B02G235600/TraesCS4D02G052200/TraesCS4D02G237000/TraesCS4D02G290900/TraesCS4D02G308600/TraesCS5A02G049600/TraesCS5A02G420200/TraesCS5B02G054800/TraesCS5B02G278600/TraesCS5D02G060300/TraesCS5D02G258300/TraesCS6A02G223700/TraesCS7A02G211900/TraesCS7A02G256200/TraesCS7A02G496600/TraesCS7B02G118800/TraesCS7D02G213500/TraesCS7D02G257000"
"heme biosynthesis","level2","darkred",7,0.00871887927604641,"TraesCS2B02G222400/TraesCS2D02G202700/TraesCS3A02G132700/TraesCS3B02G166900/TraesCS3B02G397400/TraesCS3D02G149000/TraesCS7D02G371900"
"toxic compounds","level2","darkred",13,0.00947691064283027,"TraesCS1A02G115900/TraesCS1B02G135800/TraesCS1D02G034800/TraesCS3A02G313200/TraesCS3B02G158700/TraesCS3B02G601800/TraesCS3D02G074400/TraesCS3D02G141100/TraesCS3D02G536300/TraesCS4A02G175600/TraesCS4D02G137000/TraesCS4D02G201100/TraesCS7D02G153100"
"EC_6 ligases","level2","darkred",41,0.00956985614419461,"TraesCS1A02G075000/TraesCS1A02G427100/TraesCS1B02G162400/TraesCS1B02G184700/TraesCS1B02G408200/TraesCS1B02G453600/TraesCS1B02G462000/TraesCS1D02G221400/TraesCS1D02G430300/TraesCS1D02G436900/TraesCS2A02G069400/TraesCS2B02G082500/TraesCS2B02G304900/TraesCS2B02G453300/TraesCS2D02G286400/TraesCS3A02G067300/TraesCS3A02G076400/TraesCS3A02G236700/TraesCS3B02G252000/TraesCS3D02G169600/TraesCS3D02G209100/TraesCS4A02G040400/TraesCS4A02G078800/TraesCS4D02G034800/TraesCS4D02G243900/TraesCS5A02G053700/TraesCS5A02G214400/TraesCS5B02G062500/TraesCS5B02G131800/TraesCS5B02G147300/TraesCS5B02G154400/TraesCS5B02G477800/TraesCS5D02G065100/TraesCS6A02G334300/TraesCS6A02G336800/TraesCS6B02G094500/TraesCS6B02G169000/TraesCS6B02G227200/TraesCS6D02G317100/TraesCS7D02G300200/TraesCS7D02G431500"
"autophagy","level2","darkred",20,0.0105983312513992,"TraesCS2A02G387200/TraesCS2A02G584900/TraesCS2D02G001400/TraesCS2D02G167600/TraesCS2D02G229900/TraesCS2D02G601400/TraesCS3A02G095300/TraesCS3B02G490900/TraesCS5B02G139300/TraesCS5B02G155700/TraesCS5B02G314100/TraesCS6B02G066400/TraesCS6B02G214000/TraesCS6B02G236800/TraesCS6B02G285600/TraesCS6D02G221200/TraesCS6D02G315600/TraesCS7A02G269800/TraesCS7B02G168000/TraesCS7D02G270300"
"lipid-A biosynthesis","level2","darkred",5,0.0121013510843033,"TraesCS2A02G256000/TraesCS2D02G266700/TraesCS3B02G320900/TraesCS5A02G367600/TraesCS5B02G370200"
"nucleotide sugar biosynthesis","level2","darkseagreen",12,0.00131260822817558,"TraesCS1A02G315300/TraesCS1B02G059800/TraesCS1D02G047100/TraesCS4B02G144900/TraesCS4B02G205100/TraesCS4B02G223700/TraesCS4B02G253000/TraesCS4B02G360500/TraesCS5D02G032700/TraesCS6A02G112800/TraesCS6D02G102400/TraesCS7B02G210700"
"callose","level2","darkseagreen",6,0.00292730687014461,"TraesCS2B02G220300/TraesCS4B02G242300/TraesCS4B02G321300/TraesCS4B02G351900/TraesCS4D02G241900/TraesCS5D02G111000"
"RNA export","level2","darkseagreen",9,0.00318499389872443,"TraesCS1D02G451300/TraesCS2A02G417900/TraesCS3A02G354400/TraesCS4B02G138300/TraesCS4B02G199500/TraesCS4B02G205000/TraesCS4B02G274200/TraesCS4B02G387800/TraesCS4D02G272900"
"retrograde trafficking","level2","darkseagreen",14,0.00436584393169069,"TraesCS2A02G220100/TraesCS3B02G221200/TraesCS3D02G494100/TraesCS4B02G018700/TraesCS4B02G111200/TraesCS4B02G164400/TraesCS4B02G175500/TraesCS4B02G177000/TraesCS4B02G204900/TraesCS4B02G224700/TraesCS4B02G233700/TraesCS4B02G238800/TraesCS4B02G373400/TraesCS6B02G334400"
"endocytic trafficking","level2","darkseagreen",14,0.00490557877408588,"TraesCS3A02G317000/TraesCS4A02G214100/TraesCS4B02G094200/TraesCS4B02G101900/TraesCS4B02G142700/TraesCS4B02G165000/TraesCS4B02G207200/TraesCS4B02G213200/TraesCS4B02G302700/TraesCS4B02G324500/TraesCS4B02G395700/TraesCS4D02G044400/TraesCS4D02G044800/TraesCS7D02G433700"
"DNA damage sensing and signalling","level2","darkseagreen",5,0.00554607858892822,"TraesCS4B02G154600/TraesCS4B02G227800/TraesCS4D02G096000/TraesCS7A02G543400/TraesCS7D02G063400"
"plastoglobule-associated activities","level2","darkseagreen",3,0.00632483750918496,"TraesCS1D02G177800/TraesCS2B02G171300/TraesCS2D02G150500"
"reactive oxygen scavenging","level2","darkseagreen",5,0.00680503668044296,"TraesCS2B02G604800/TraesCS4B02G152800/TraesCS4B02G243200/TraesCS4B02G325800/TraesCS6A02G041700"
"translation initiation","level2","darkseagreen",12,0.00700702607406361,"TraesCS4B02G052500/TraesCS4B02G083200/TraesCS4B02G164300/TraesCS4B02G165800/TraesCS4B02G170900/TraesCS4B02G190900/TraesCS4B02G216300/TraesCS4B02G299200/TraesCS5A02G261900/TraesCS6A02G066400/TraesCS6D02G199300/TraesCS7D02G287900"
"nucleotide excision repair (NER)","level2","darkseagreen",7,0.00716162051904043,"TraesCS2A02G587100/TraesCS3A02G261300/TraesCS4A02G247000/TraesCS4B02G257000/TraesCS4B02G378700/TraesCS4D02G165800/TraesCS6B02G112700"
"calvin cycle","level2","darkseagreen",10,0.00788894642678055,"TraesCS2D02G065500/TraesCS4B02G109900/TraesCS4B02G134600/TraesCS4B02G140300/TraesCS4B02G184400/TraesCS4B02G211400/TraesCS4B02G285000/TraesCS4B02G323000/TraesCS4B02G379500/TraesCS5B02G563900"
"sulfur assimilation","level2","darkseagreen",4,0.00831593312563431,"TraesCS1A02G324000/TraesCS1D02G325300/TraesCS2D02G231100/TraesCS6B02G117300"
"microtubular network","level2","darkslateblue",6,0.00113806982389239,"TraesCS1A02G099400/TraesCS3B02G246600/TraesCS5B02G221400/TraesCS6A02G103200/TraesCS6A02G188600/TraesCS6B02G417400"
"phosphoinositide signalling","level2","darkviolet",7,0.000183435770475847,"TraesCS2B02G621000/TraesCS3D02G190000/TraesCS4A02G268300/TraesCS4B02G045900/TraesCS4D02G046100/TraesCS5D02G097700/TraesCS6D02G265200"
"DNA repair polymerase activities","level2","firebrick2",3,0.000458667370709034,"TraesCS1A02G323500/TraesCS1B02G336400/TraesCS4A02G234800"
"circadian clock system","level2","firebrick4",15,4.5376145770463e-12,"TraesCS3A02G526600/TraesCS3B02G470700/TraesCS3D02G309700/TraesCS4A02G004800/TraesCS4A02G162200/TraesCS4B02G153700/TraesCS4D02G166000/TraesCS4D02G199600/TraesCS6A02G255600/TraesCS6A02G258600/TraesCS6B02G266800/TraesCS6D02G239800/TraesCS7A02G299400/TraesCS7B02G188000/TraesCS7D02G295400"
"calcium-dependent signalling","level2","firebrick4",23,9.38929643791024e-07,"TraesCS1A02G080500/TraesCS1A02G080600/TraesCS1A02G080700/TraesCS1B02G098600/TraesCS1B02G098700/TraesCS1D02G082200/TraesCS1D02G082600/TraesCS2A02G223100/TraesCS2B02G269200/TraesCS2B02G367500/TraesCS2D02G229100/TraesCS2D02G347500/TraesCS3A02G305900/TraesCS3A02G351300/TraesCS3D02G345500/TraesCS4A02G136500/TraesCS4D02G027600/TraesCS4D02G126200/TraesCS5A02G124700/TraesCS5A02G490200/TraesCS5D02G132500/TraesCS6B02G288600/TraesCS7D02G374400"
"starch metabolism","level2","firebrick4",13,2.87179944263034e-05,"TraesCS1B02G229000/TraesCS2A02G310300/TraesCS2D02G126600/TraesCS2D02G369800/TraesCS2D02G468900/TraesCS4A02G149300/TraesCS4A02G307900/TraesCS4B02G158500/TraesCS4D02G006100/TraesCS4D02G339400/TraesCS6A02G180500/TraesCS6B02G336400/TraesCS7A02G235200"
"prenylquinone biosynthesis","level2","firebrick4",6,0.000704754845654159,"TraesCS1B02G452100/TraesCS1D02G428800/TraesCS3B02G426100/TraesCS4D02G104600/TraesCS6A02G111200/TraesCS6B02G265600"
"galactolipid and sulfolipid biosynthesis","level2","firebrick4",5,0.000885520205439444,"TraesCS2A02G297800/TraesCS4A02G093900/TraesCS4A02G200600/TraesCS4D02G112200/TraesCS5A02G221800"
"light","level2","firebrick4",10,0.00117723972260083,"TraesCS1D02G232200/TraesCS1D02G417600/TraesCS2B02G311000/TraesCS2D02G292300/TraesCS3A02G111100/TraesCS3B02G318600/TraesCS3D02G113100/TraesCS3D02G263800/TraesCS3D02G284500/TraesCS7D02G476200"
"plastid movement","level2","firebrick4",4,0.00168404263519187,"TraesCS3B02G189800/TraesCS3B02G293900/TraesCS3D02G166500/TraesCS3D02G261000"
"SnRK1-kinase regulatory system","level2","firebrick4",9,0.00381651594060606,"TraesCS1A02G119800/TraesCS1B02G139200/TraesCS2A02G281700/TraesCS2D02G453800/TraesCS2D02G454400/TraesCS2D02G455200/TraesCS5D02G200000/TraesCS7A02G385100/TraesCS7D02G381700"
"ethylene","level2","firebrick4",7,0.00470590411357296,"TraesCS1A02G096600/TraesCS1B02G127000/TraesCS1D02G105600/TraesCS2A02G000200/TraesCS5D02G002600/TraesCS6A02G181900/TraesCS7D02G039400"
"pectin","level2","green3",11,0.00046026106665264,"TraesCS1A02G143600/TraesCS1B02G042000/TraesCS2B02G553100/TraesCS2D02G091800/TraesCS2D02G317900/TraesCS4A02G131800/TraesCS4A02G173100/TraesCS5B02G215400/TraesCS5D02G224600/TraesCS5D02G336700/TraesCS7D02G433100"
"endoplasmic reticulum-cytoskeleton-plasma membrane interface","level2","green4",5,0.000917600353484544,"TraesCS7B02G459900/TraesCS7B02G460100/TraesCS7B02G462600/TraesCS7B02G463000/TraesCS7D02G503700"
"SnRK1-kinase regulatory system","level2","grey",1,0.00655158099519071,"TraesCS3A02G226700"
"protein quality control","level2","grey60",21,1.03528983831262e-10,"TraesCS1A02G120100/TraesCS1B02G378000/TraesCS1D02G403500/TraesCS2A02G386800/TraesCS2D02G383600/TraesCS3A02G161200/TraesCS3A02G474200/TraesCS3B02G192300/TraesCS3B02G390700/TraesCS3D02G168500/TraesCS4A02G092900/TraesCS4A02G175100/TraesCS4B02G211600/TraesCS4D02G226000/TraesCS5A02G366800/TraesCS5D02G113700/TraesCS5D02G276100/TraesCS6D02G322300/TraesCS7A02G176600/TraesCS7B02G109100/TraesCS7D02G205400"
"anterograde trafficking","level2","grey60",7,0.00164242997833674,"TraesCS2A02G145500/TraesCS2D02G149300/TraesCS3B02G177700/TraesCS5A02G167200/TraesCS5A02G485600/TraesCS5B02G164200/TraesCS5D02G171500"
"DNA replication","level2","honeydew1",7,0.000533690177129666,"TraesCS1A02G327700/TraesCS1D02G298400/TraesCS2B02G382000/TraesCS3B02G597500/TraesCS4B02G246900/TraesCS6A02G380300/TraesCS6A02G392300"
"protein quality control","level2","ivory",26,3.56807662062266e-11,"TraesCS1A02G051500/TraesCS1A02G285000/TraesCS1A02G420500/TraesCS1D02G053500/TraesCS1D02G121000/TraesCS1D02G284000/TraesCS1D02G428400/TraesCS3A02G112900/TraesCS3B02G131000/TraesCS3B02G255300/TraesCS4B02G206700/TraesCS4B02G212300/TraesCS4D02G207500/TraesCS5A02G426100/TraesCS5B02G428000/TraesCS5B02G495500/TraesCS5D02G434100/TraesCS6B02G274600/TraesCS6B02G346700/TraesCS6D02G221000/TraesCS6D02G317700/TraesCS7A02G242200/TraesCS7B02G149200/TraesCS7B02G347100/TraesCS7D02G241100/TraesCS7D02G293900"
"circadian clock system","level2","ivory",11,6.35721758657144e-09,"TraesCS3D02G531900/TraesCS4B02G300200/TraesCS4B02G391800/TraesCS4D02G112800/TraesCS4D02G299100/TraesCS5A02G555100/TraesCS6A02G227900/TraesCS6B02G253900/TraesCS6B02G270000/TraesCS6D02G207100/TraesCS6D02G236800"
"flowering","level2","ivory",10,0.000276132598599231,"TraesCS2A02G488000/TraesCS4B02G069700/TraesCS5A02G154600/TraesCS5A02G162800/TraesCS5B02G127600/TraesCS5B02G152800/TraesCS6B02G183500/TraesCS7A02G497200/TraesCS7B02G013100/TraesCS7B02G400600"
"putrescine biosynthesis","level2","lightpink2",4,0.00087883695700822,"TraesCS2D02G034900/TraesCS5B02G022300/TraesCS5B02G336200/TraesCS5D02G342000"
"epigenetic state regulation","level2","lightpink4",6,0.0011536705844144,"TraesCS1B02G364100/TraesCS2B02G105400/TraesCS2B02G291200/TraesCS5A02G340400/TraesCS5B02G364900/TraesCS7D02G249900"
"homologous recombination repair (HR)","level2","lightskyblue3",4,1.2835192255826e-06,"TraesCS3B02G346600/TraesCS5A02G162400/TraesCS5B02G159900/TraesCS5D02G166500"
"nuclear dynamics","level2","lightskyblue3",2,0.0011386044382078,"TraesCS6B02G303400/TraesCS6D02G256200"
"tricarboxylic acid cycle","level2","lightskyblue3",2,0.00445382514954928,"TraesCS4D02G070200/TraesCS6A02G198200"
"Programmed Cell Death (PCD) system","level2","lightskyblue3",2,0.00724639227543685,"TraesCS3B02G471700/TraesCS3D02G430000"
"molybdenum cofactor biosynthesis","level2","lightskyblue3",1,0.018376377093361,"TraesCS2A02G338400"
"abscisic acid","level2","lightsteelblue",11,2.36975886191659e-09,"TraesCS1A02G358600/TraesCS2D02G087500/TraesCS3A02G209200/TraesCS3A02G249000/TraesCS3B02G240000/TraesCS3B02G277900/TraesCS3D02G212100/TraesCS4A02G114400/TraesCS4D02G191200/TraesCS5B02G375900/TraesCS5D02G383500"
"cutin and suberin","level2","lightsteelblue",7,0.000572223829684047,"TraesCS1A02G283100/TraesCS1D02G147800/TraesCS2D02G360100/TraesCS6D02G369400/TraesCS7A02G437700/TraesCS7B02G128900/TraesCS7B02G408900"
"pyrimidines","level2","lightsteelblue1",6,0.000377484812277029,"TraesCS1B02G441900/TraesCS2A02G036500/TraesCS4B02G167100/TraesCS5A02G285300/TraesCS5B02G121700/TraesCS5D02G124500"
"autophagy","level2","mistyrose",3,0.0021481192086093,"TraesCS2A02G468300/TraesCS2B02G022700/TraesCS6D02G364800"
"prenylquinone biosynthesis","level2","orangered1",2,0.0045787645235241,"TraesCS6A02G413300/TraesCS6D02G397900"
"sucrose metabolism","level2","orangered1",3,0.00897442872036,"TraesCS3B02G584500/TraesCS4A02G492600/TraesCS6B02G466600"
"nucleosome remodeling","level2","orangered3",9,0.000471509940654849,"TraesCS2A02G188100/TraesCS2A02G308200/TraesCS2D02G202400/TraesCS3B02G083400/TraesCS4A02G271400/TraesCS4D02G364600/TraesCS5D02G357300/TraesCS6B02G195400/TraesCS6B02G196000"
"SnRK1-kinase regulatory system","level2","orangered4",7,6.14345660600066e-05,"TraesCS1A02G308900/TraesCS2A02G454700/TraesCS2B02G474700/TraesCS2B02G475000/TraesCS2B02G475100/TraesCS2B02G475200/TraesCS2D02G453400"
"phenolics","level2","plum2",10,0.00015767266723437,"TraesCS2A02G196700/TraesCS2A02G381000/TraesCS2D02G377500/TraesCS2D02G377600/TraesCS3A02G253800/TraesCS3B02G257900/TraesCS3B02G285700/TraesCS3D02G254700/TraesCS6D02G212400/TraesCS7A02G496200"
"nucleus","level2","plum3",11,6.7433622571981e-07,"TraesCS1A02G154700/TraesCS1D02G034200/TraesCS2A02G088000/TraesCS3A02G158500/TraesCS3D02G362200/TraesCS4A02G110400/TraesCS4D02G066700/TraesCS5B02G372400/TraesCS5D02G379600/TraesCS5D02G568300/TraesCS7B02G159000"
"plastidial glycolysis","level2","plum3",6,1.43253037288763e-06,"TraesCS1B02G325100/TraesCS4A02G206400/TraesCS4D02G107400/TraesCS5A02G108000/TraesCS5A02G324200/TraesCS5D02G331100"
"calvin cycle","level2","plum3",8,1.31248742665257e-05,"TraesCS1B02G325100/TraesCS4A02G206400/TraesCS4D02G107400/TraesCS5A02G108000/TraesCS5A02G324200/TraesCS5D02G331100/TraesCS6B02G294700/TraesCS6D02G247400"
"chloroplast","level2","plum3",7,0.000125733475056982,"TraesCS1A02G165800/TraesCS1B02G182500/TraesCS1D02G174900/TraesCS3A02G075700/TraesCS3D02G075800/TraesCS3D02G197400/TraesCS4D02G040700"
"photorespiration","level2","plum3",5,0.00020817944029373,"TraesCS1B02G084700/TraesCS1D02G067500/TraesCS2A02G348500/TraesCS2B02G366900/TraesCS2D02G346900"
"mitochondrion/peroxisome binary fission","level2","plum3",4,0.000257749111005714,"TraesCS2B02G298400/TraesCS4A02G117800/TraesCS6A02G280800/TraesCS6B02G309600"
"pyruvate group amino acid biosynthesis","level2","plum3",4,0.00121517354892937,"TraesCS4A02G230000/TraesCS6A02G080600/TraesCS6B02G317400/TraesCS6D02G268700"
"amino acid degradation","level2","plum3",7,0.0031683147984519,"TraesCS1A02G291200/TraesCS1B02G084700/TraesCS1D02G067500/TraesCS6D02G128800/TraesCS6D02G146700/TraesCS7A02G468400/TraesCS7B02G363700"
"reactive electrophilic lipid homeostasis","level2","plum3",3,0.0070301670804462,"TraesCS2A02G277900/TraesCS3B02G549000/TraesCS6A02G133100"
"glutathione-based redox regulation","level2","salmon",12,0.000153165018805281,"TraesCS2B02G574600/TraesCS2D02G224700/TraesCS3A02G459500/TraesCS3A02G488200/TraesCS3B02G490400/TraesCS3D02G482700/TraesCS5A02G303000/TraesCS7A02G442500/TraesCS7A02G525700/TraesCS7B02G000300/TraesCS7B02G084400/TraesCS7D02G192500"
"DNA damage sensing and signalling","level2","salmon",4,0.000649580343224137,"TraesCS1A02G329400/TraesCS1B02G342800/TraesCS2A02G528700/TraesCS5A02G081400"
"endocytic trafficking","level2","salmon",8,0.00168379068069624,"TraesCS2A02G388400/TraesCS3B02G368700/TraesCS3D02G237000/TraesCS4A02G485300/TraesCS5A02G346800/TraesCS6A02G210600/TraesCS6B02G239500/TraesCS7B02G340200"
"protein quality control","level2","sienna3",8,0.000445851108802017,"TraesCS3B02G049900/TraesCS3B02G130900/TraesCS3D02G114900/TraesCS3D02G115000/TraesCS3D02G115100/TraesCS3D02G115200/TraesCS4A02G066100/TraesCS4D02G145500"
"SnRK1-kinase regulatory system","level2","tan",11,1.51439711738069e-06,"TraesCS2A02G454300/TraesCS2B02G475600/TraesCS2B02G476000/TraesCS2B02G476100/TraesCS2B02G476200/TraesCS2B02G476300/TraesCS2B02G476500/TraesCS2B02G476700/TraesCS2B02G476900/TraesCS6A02G207800/TraesCS7D02G183500"
"peroxisome","level2","tan",4,0.00109383895495738,"TraesCS2B02G480000/TraesCS2B02G503600/TraesCS2D02G458300/TraesCS2D02G478500"
"RAM (Regulation of Ace2 and Morphogenesis) signalling","level2","wheat3",1,0.0188286079590824,"TraesCS5D02G060900"
"fermentation","level2","wheat3",1,0.0196575306922435,"TraesCS1A02G370200"
"phylloquinone biosynthesis","level2","wheat3",1,0.02048578493294,"TraesCS4A02G282100"
"actin and tubulin folding","level2","wheat3",1,0.0316020475413626,"TraesCS7A02G062100"
"MAC/NTC spliceosome-associated complex","level3","antiquewhite",2,0.00184915566772682,"TraesCS7A02G407000/TraesCS7D02G400600"
"transcription co-activation","level3","antiquewhite",2,0.00684577822566723,"TraesCS5D02G119400/TraesCS6D02G275000"
"heat response","level3","antiquewhite",1,0.00780110771554787,"TraesCS4A02G322300"
"protein dual-specifity phosphatase families","level3","antiquewhite",1,0.00780110771554787,"TraesCS5A02G138200"
"snRNA maturation","level3","antiquewhite",1,0.0087150414584084,"TraesCS5D02G367600"
"transacting siRNA pathway","level3","antiquewhite",1,0.0119074605063355,"TraesCS2D02G053900"
"aspartic-type peptidase activities","level3","antiquewhite",2,0.0167000875783396,"TraesCS2D02G112800/TraesCS3A02G053600"
"alternative NAD(P)H dehydrogenase activities","level3","antiquewhite",1,0.0169042209445072,"TraesCS4B02G139600"
"TREX/THO ribonucleoparticle (RNP) trafficking complex","level3","antiquewhite",1,0.0290665393687318,"TraesCS6A02G332800"
"HSF-type transcription factor","level3","antiquewhite",1,0.0344256073940971,"TraesCS4A02G322300"
"chromosome segregation","level3","antiquewhite",1,0.0384262936140121,"TraesCS1B02G037800"
"mRNA maturation","level3","antiquewhite",1,0.0741526215005714,"TraesCS5D02G367600"
"solute transporter *(MTCC)","level3","antiquewhite",1,0.0792729442897721,"TraesCS4B02G139600"
"large ribosomal subunit (LSU)","level3","antiquewhite4",246,1.36580033419275e-79,"TraesCS1A02G060700/TraesCS1A02G096500/TraesCS1A02G112500/TraesCS1A02G125100/TraesCS1A02G143400/TraesCS1A02G147000/TraesCS1A02G148400/TraesCS1A02G192300/TraesCS1A02G224000/TraesCS1A02G277500/TraesCS1A02G307400/TraesCS1A02G354400/TraesCS1A02G363700/TraesCS1A02G383500/TraesCS1A02G399800/TraesCS1B02G105100/TraesCS1B02G127200/TraesCS1B02G132700/TraesCS1B02G144300/TraesCS1B02G160800/TraesCS1B02G164500/TraesCS1B02G237300/TraesCS1B02G240000/TraesCS1B02G245100/TraesCS1B02G274700/TraesCS1B02G286500/TraesCS1B02G294200/TraesCS1B02G318200/TraesCS1B02G380800/TraesCS1B02G409800/TraesCS1B02G427900/TraesCS1B02G478100/TraesCS1D02G061600/TraesCS1D02G105500/TraesCS1D02G114100/TraesCS1D02G128800/TraesCS1D02G145100/TraesCS1D02G225600/TraesCS1D02G227300/TraesCS1D02G233100/TraesCS1D02G264200/TraesCS1D02G276700/TraesCS1D02G306800/TraesCS1D02G368700/TraesCS1D02G407500/TraesCS1D02G451700/TraesCS2A02G094200/TraesCS2A02G097800/TraesCS2A02G109900/TraesCS2A02G110500/TraesCS2A02G113100/TraesCS2A02G170800/TraesCS2A02G177700/TraesCS2A02G227500/TraesCS2A02G260700/TraesCS2A02G278600/TraesCS2A02G294000/TraesCS2A02G339200/TraesCS2A02G354200/TraesCS2A02G432600/TraesCS2A02G458600/TraesCS2A02G458800/TraesCS2B02G109000/TraesCS2B02G127900/TraesCS2B02G129300/TraesCS2B02G131900/TraesCS2B02G197200/TraesCS2B02G204800/TraesCS2B02G205700/TraesCS2B02G246000/TraesCS2B02G262600/TraesCS2B02G281300/TraesCS2B02G296200/TraesCS2B02G310300/TraesCS2B02G312400/TraesCS2B02G375100/TraesCS2B02G400600/TraesCS2B02G453900/TraesCS2B02G464300/TraesCS2D02G092800/TraesCS2D02G110100/TraesCS2D02G111100/TraesCS2D02G113600/TraesCS2D02G178300/TraesCS2D02G185900/TraesCS2D02G235500/TraesCS2D02G263000/TraesCS2D02G277700/TraesCS2D02G291600/TraesCS2D02G293900/TraesCS2D02G323900/TraesCS2D02G354800/TraesCS2D02G379700/TraesCS2D02G430500/TraesCS2D02G442300/TraesCS3A02G007300/TraesCS3A02G136800/TraesCS3A02G247600/TraesCS3A02G252700/TraesCS3A02G291200/TraesCS3A02G313500/TraesCS3A02G339200/TraesCS3A02G372600/TraesCS3A02G509300/TraesCS3B02G006500/TraesCS3B02G007200/TraesCS3B02G154600/TraesCS3B02G158400/TraesCS3B02G271800/TraesCS3B02G284300/TraesCS3B02G370900/TraesCS3B02G391300/TraesCS3B02G405000/TraesCS3B02G456100/TraesCS3B02G578700/TraesCS3D02G003800/TraesCS3D02G137600/TraesCS3D02G140800/TraesCS3D02G191800/TraesCS3D02G243800/TraesCS3D02G253300/TraesCS3D02G332800/TraesCS3D02G352800/TraesCS3D02G365600/TraesCS4A02G077000/TraesCS4A02G158000/TraesCS4A02G189200/TraesCS4A02G208000/TraesCS4A02G276400/TraesCS4A02G305300/TraesCS4A02G406500/TraesCS4D02G007500/TraesCS4D02G105600/TraesCS4D02G109200/TraesCS4D02G123700/TraesCS4D02G169000/TraesCS4D02G170100/TraesCS4D02G234300/TraesCS4D02G339500/TraesCS5A02G032200/TraesCS5A02G038200/TraesCS5A02G082800/TraesCS5A02G112400/TraesCS5A02G153300/TraesCS5A02G156100/TraesCS5A02G170300/TraesCS5A02G227800/TraesCS5A02G279100/TraesCS5A02G288400/TraesCS5A02G372700/TraesCS5A02G373600/TraesCS5A02G392900/TraesCS5A02G439100/TraesCS5A02G452400/TraesCS5A02G468000/TraesCS5A02G509200/TraesCS5A02G513300/TraesCS5B02G085400/TraesCS5B02G088900/TraesCS5B02G118400/TraesCS5B02G152500/TraesCS5B02G154300/TraesCS5B02G167100/TraesCS5B02G278700/TraesCS5B02G363500/TraesCS5B02G373200/TraesCS5B02G374800/TraesCS5B02G397800/TraesCS5B02G453200/TraesCS5B02G461300/TraesCS5D02G038300/TraesCS5D02G045600/TraesCS5D02G095400/TraesCS5D02G129200/TraesCS5D02G161400/TraesCS5D02G174700/TraesCS5D02G286400/TraesCS5D02G296200/TraesCS5D02G326000/TraesCS5D02G402800/TraesCS5D02G425600/TraesCS5D02G446300/TraesCS5D02G455200/TraesCS5D02G462800/TraesCS5D02G481100/TraesCS6A02G011400/TraesCS6A02G204900/TraesCS6A02G210800/TraesCS6A02G224600/TraesCS6A02G268300/TraesCS6A02G360400/TraesCS6A02G386000/TraesCS6B02G111400/TraesCS6B02G225600/TraesCS6B02G230300/TraesCS6B02G239800/TraesCS6B02G310100/TraesCS6B02G376800/TraesCS6B02G393300/TraesCS6B02G425000/TraesCS6D02G055400/TraesCS6D02G180100/TraesCS6D02G190100/TraesCS6D02G193900/TraesCS6D02G209400/TraesCS6D02G246600/TraesCS6D02G262100/TraesCS6D02G326700/TraesCS6D02G343900/TraesCS7A02G020200/TraesCS7A02G145700/TraesCS7A02G244800/TraesCS7A02G261600/TraesCS7A02G266000/TraesCS7A02G278700/TraesCS7A02G296800/TraesCS7A02G300500/TraesCS7A02G316300/TraesCS7A02G331700/TraesCS7A02G454800/TraesCS7A02G527600/TraesCS7B02G146600/TraesCS7B02G152300/TraesCS7B02G166400/TraesCS7B02G189800/TraesCS7B02G201400/TraesCS7B02G209900/TraesCS7B02G238600/TraesCS7B02G243300/TraesCS7B02G399800/TraesCS7D02G016500/TraesCS7D02G072700/TraesCS7D02G125500/TraesCS7D02G147000/TraesCS7D02G243500/TraesCS7D02G254200/TraesCS7D02G257100/TraesCS7D02G262800/TraesCS7D02G268700/TraesCS7D02G278500/TraesCS7D02G292800/TraesCS7D02G296300/TraesCS7D02G306600/TraesCS7D02G354300/TraesCS7D02G423800/TraesCS7D02G443900"
