component *(D1/PsbA),TraesCS5D02G008300
component *(eIF2B-epsilon),TraesCS6A02G381800
component *(eIF2B-epsilon),TraesCS6B02G421000
component *(eIF2B-epsilon),TraesCS6D02G366500
membrane-anchor component *(ALG14),TraesCS6A02G264700
membrane-anchor component *(ALG14),TraesCS6B02G291700
membrane-anchor component *(ALG14),TraesCS6D02G250200
"hydroxyproline beta-1,4-arabinosyltransferase *(HPAT)",TraesCS7A02G143900
"hydroxyproline beta-1,4-arabinosyltransferase *(HPAT)",TraesCS7B02G046000
"hydroxyproline beta-1,4-arabinosyltransferase *(HPAT)",TraesCS7D02G145400
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7A02G139800
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7A02G293200
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7B02G041500
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7B02G185900
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7D02G141100
hydroxyproline-O-galactosyltransferase *(HPGT),TraesCS7D02G286500
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5A02G038100
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5A02G451400
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5A02G452200
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5B02G039600
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5B02G460200
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5B02G460900
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5D02G045500
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5D02G461600
hydroxyproline O-galactosyltransferase *(GALT),TraesCS5D02G462400
hydroxyproline O-galactosyltransferase *(GALT),TraesCS7A02G309500
hydroxyproline O-galactosyltransferase *(GALT),TraesCS7B02G209500
hydroxyproline O-galactosyltransferase *(GALT),TraesCS7D02G306200
component *(PIG-A),TraesCS5A02G123800
component *(PIG-A),TraesCS5B02G123400
component *(PIG-A),TraesCS5D02G131700
component *(PIG-C),TraesCS6A02G225500
component *(PIG-C),TraesCS6B02G256100
component *(PIG-C),TraesCS6D02G210300
component *(PIG-P),TraesCS5A02G545900
component *(PIG-Q),TraesCS5A02G412100
component *(PIG-Q),TraesCS5B02G415900
component *(PIG-Q),TraesCS5D02G421300
"alpha-1,4-mannosyltransferase component *(PIG-M)",TraesCS5A02G367800
"alpha-1,4-mannosyltransferase component *(PIG-M)",TraesCS5B02G370000
"alpha-1,4-mannosyltransferase component *(PIG-M)",TraesCS5D02G377200
stabilizing component *(PIG-X),TraesCS5A02G060700
stabilizing component *(PIG-X),TraesCS5B02G071400
stabilizing component *(PIG-X),TraesCS5D02G072200
regulatory kinase *(SIMP1),TraesCS5A02G156400
regulatory kinase *(SIMP1),TraesCS5B02G154600
regulatory kinase *(SIMP1),TraesCS5D02G161800
component *(CERK1),TraesCS6A02G417900
component *(CERK1),TraesCS6B02G471400
component *(CERK1),TraesCS6D02G403200
component *(CERK1),TraesCS7A02G264400
component *(CERK1),TraesCS7B02G162500
component *(CERK1),TraesCS7D02G265400
dynamically associated protein kinase *(BIK1),TraesCS5A02G480600
dynamically associated protein kinase *(BIK1),TraesCS5B02G493500
dynamically associated protein kinase *(BIK1),TraesCS5D02G493800
dynamically associated protein kinase *(BIK1),TraesCS7B02G448200
dynamically associated protein kinase *(BIK1),TraesCS7D02G518500
catalytic component,TraesCS5B02G565000
catalytic component,TraesCS5D02G549800
catalytic component,TraesCS6A02G396400
catalytic component,TraesCS6A02G404700
catalytic component,TraesCS6B02G436400
catalytic component,TraesCS6B02G449000
catalytic component,TraesCS6D02G381300
catalytic component,TraesCS6D02G388000
catalytic component,TraesCS7A02G126500
catalytic component,TraesCS7B02G025800
catalytic component,TraesCS7D02G124400
regulatory component *(PP1R),TraesCS6A02G190900
regulatory component *(PP1R),TraesCS6B02G222000
regulatory component *(PP1R),TraesCS6D02G180200
regulatory component B,TraesCS6A02G187800
regulatory component B,TraesCS6B02G216800
regulatory component B,TraesCS6D02G178300
regulatory component B,TraesCS7A02G358700
regulatory component B,TraesCS7B02G268700
regulatory component B,TraesCS7D02G364000
regulatory component B1,TraesCS5A02G336800
regulatory component B1,TraesCS5B02G335800
regulatory component B1,TraesCS5B02G533000
regulatory component B1,TraesCS5D02G341500
regulatory component B1,TraesCS5D02G531300
regulatory component B1,TraesCS7A02G313600
regulatory component B1,TraesCS7B02G214300
regulatory component B1,TraesCS7D02G310200
regulatory component B2,TraesCS6A02G170400
regulatory component B2,TraesCS6B02G198600
regulatory component B2,TraesCS6D02G160100
1),TraesCS7A02G124000
1),TraesCS7B02G022900
1),TraesCS7D02G121900
membrane-anchored lectin chaperone *(CNX),TraesCS6A02G101800
membrane-anchored lectin chaperone *(CNX),TraesCS6A02G101900
membrane-anchored lectin chaperone *(CNX),TraesCS6B02G129800
membrane-anchored lectin chaperone *(CNX),TraesCS6B02G130100
membrane-anchored lectin chaperone *(CNX),TraesCS6D02G090200
membrane-anchored lectin chaperone *(CNX),TraesCS6D02G090400
ER luminal lectin chaperone *(CRT),TraesCS5B02G509400
ER luminal lectin chaperone *(CRT),TraesCS5B02G510200
chaperone component *(BiP),TraesCS7A02G457100
chaperone component *(BiP),TraesCS7B02G359100
chaperone component *(BiP),TraesCS7D02G445600
component *(SDF2),TraesCS7A02G159300
component *(SDF2),TraesCS7A02G330300
component *(SDF2),TraesCS7B02G063900
component *(SDF2),TraesCS7B02G231000
component *(SDF2),TraesCS7D02G160300
component *(SDF2),TraesCS7D02G327100
E3 ubiquitin ligase component *(Doa10),TraesCS5D02G415200
E3 ubiquitin ligase component *(Doa10),TraesCS7A02G340400
E3 ubiquitin ligase component *(Doa10),TraesCS7A02G524600
E3 ubiquitin ligase component *(Doa10),TraesCS7B02G252000
E3 ubiquitin ligase component *(Doa10),TraesCS7B02G442100
E3 ubiquitin ligase component *(Doa10),TraesCS7D02G348000
E3 ubiquitin ligase component *(Doa10),TraesCS7D02G513500
E2 ubiquitin-conjugating component *(Ubc33/34),TraesCS7A02G157200
E2 ubiquitin-conjugating enzyme *(UBC32),TraesCS7A02G157200
E2 ubiquitin-conjugating component *(Ubc33/34),TraesCS7B02G061500
E2 ubiquitin-conjugating enzyme *(UBC32),TraesCS7B02G061500
E2 ubiquitin-conjugating component *(Ubc33/34),TraesCS7D02G157700
E2 ubiquitin-conjugating enzyme *(UBC32),TraesCS7D02G157700
methionyl aminopeptidase *(MAP1),TraesCS6A02G213500
methionyl aminopeptidase *(MAP1),TraesCS6A02G321600
methionyl aminopeptidase *(MAP1),TraesCS6B02G243600
methionyl aminopeptidase *(MAP1),TraesCS6B02G352400
methionyl aminopeptidase *(MAP1),TraesCS6D02G196200
methionyl aminopeptidase *(MAP1),TraesCS6D02G301300
methionyl aminopeptidase *(MAP1),TraesCS7B02G171400
methionyl aminopeptidase *(MAP1),TraesCS7B02G234300
cysteine oxidase *(PCO),TraesCS5A02G025200
cysteine oxidase *(PCO),TraesCS5A02G025300
cysteine oxidase *(PCO),TraesCS5A02G182000
cysteine oxidase *(PCO),TraesCS5B02G023000
cysteine oxidase *(PCO),TraesCS5B02G023100
cysteine oxidase *(PCO),TraesCS5B02G023400
cysteine oxidase *(PCO),TraesCS5B02G180000
cysteine oxidase *(PCO),TraesCS5D02G031600
cysteine oxidase *(PCO),TraesCS5D02G031700
cysteine oxidase *(PCO),TraesCS5D02G186400
cysteine oxidase *(PCO),TraesCS6A02G264100
cysteine oxidase *(PCO),TraesCS6B02G291100
cysteine oxidase *(PCO),TraesCS6D02G250800
Nt-asparagine amidase *(NTAN),TraesCS7A02G402200
Nt-asparagine amidase *(NTAN),TraesCS7B02G302300
Nt-asparagine amidase *(NTAN),TraesCS7D02G396000
type-II-residues E3 ubiquitin ligase *(PRT1),TraesCS6A02G226100
type-II-residues E3 ubiquitin ligase *(PRT1),TraesCS6B02G255500
type-II-residues E3 ubiquitin ligase *(PRT1),TraesCS6D02G209000
component *(RanBPM/GID1),TraesCS6A02G196200
component *(RanBPM/GID1),TraesCS6B02G235500
component *(RanBPM/GID1),TraesCS6D02G178900
E3 ubiquitin ligase component *(GID2),TraesCS6A02G252500
E3 ubiquitin ligase component *(GID2),TraesCS6B02G272500
E3 ubiquitin ligase component *(GID2),TraesCS6D02G234000
E3 ubiquitin ligase component *(GID2),TraesCS7A02G367600
E3 ubiquitin ligase component *(GID2),TraesCS7B02G260900
E3 ubiquitin ligase component *(GID2),TraesCS7D02G355200
ubiquitin-conjugating component *(GID3),TraesCS5B02G566100
E2 ubiquitin-conjugating enzyme *(UBC4),TraesCS5B02G566100
ubiquitin-conjugating component *(GID3),TraesCS5D02G558500
E2 ubiquitin-conjugating enzyme *(UBC4),TraesCS5D02G558500
component *(GID7),TraesCS5A02G074900
component *(GID7),TraesCS5B02G081300
component *(GID7),TraesCS5D02G088400
component *(GID7),TraesCS7A02G311000
component *(GID7),TraesCS7B02G210600
component *(GID7),TraesCS7D02G307300
E2 ubiquitin-conjugating enzyme *(UBC1),TraesCS5A02G429000
E2 ubiquitin-conjugating enzyme *(UBC1),TraesCS5B02G431100
E2 ubiquitin-conjugating enzyme *(UBC1),TraesCS5D02G437100
E2 ubiquitin-conjugating enzyme *(UBC15),TraesCS5A02G006200
E2 ubiquitin-conjugating enzyme *(UBC15),TraesCS5B02G005100
E2 ubiquitin-conjugating enzyme *(UBC15),TraesCS5D02G006000
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS6A02G153500
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS6B02G181200
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS6D02G142800
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7A02G491300
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7A02G491500
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7B02G395100
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7B02G396100
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7D02G477600
E2 ubiquitin-conjugating enzyme *(UBC22),TraesCS7D02G477900
E2 ubiquitin-conjugating enzyme *(UBC35),TraesCS5A02G181700
E2 ubiquitin-conjugating enzyme *(UBC35),TraesCS5B02G179700
E2 ubiquitin-conjugating enzyme *(UBC35),TraesCS5D02G186100
Ubc13-Uev1 conjugating E2 complex,TraesCS5A02G054100
Ubc13-Uev1 conjugating E2 complex,TraesCS5A02G177900
Ubc13-Uev1 conjugating E2 complex,TraesCS5B02G062300
Ubc13-Uev1 conjugating E2 complex,TraesCS5B02G175500
Ubc13-Uev1 conjugating E2 complex,TraesCS5D02G065400
Ubc13-Uev1 conjugating E2 complex,TraesCS5D02G182300
E3 ubiquitin ligase *(RGLG),TraesCS5A02G103800
E3 ubiquitin ligase *(RGLG),TraesCS5A02G368900
E3 ubiquitin ligase *(RGLG),TraesCS5B02G111900
E3 ubiquitin ligase *(RGLG),TraesCS5B02G371300
E3 ubiquitin ligase *(RGLG),TraesCS5D02G122000
E3 ubiquitin ligase *(RGLG),TraesCS5D02G378400
E3 ubiquitin ligase *(RGLG),TraesCS7A02G308900
E3 ubiquitin ligase *(RGLG),TraesCS7A02G381200
E3 ubiquitin ligase *(RGLG),TraesCS7A02G381300
E3 ubiquitin ligase *(RGLG),TraesCS7B02G134400
E3 ubiquitin ligase *(RGLG),TraesCS7B02G208900
E3 ubiquitin ligase *(RGLG),TraesCS7B02G283100
E3 ubiquitin ligase *(RGLG),TraesCS7B02G283200
E3 ubiquitin ligase *(RGLG),TraesCS7D02G305600
E3 ubiquitin ligase *(RGLG),TraesCS7D02G377500
E3 ubiquitin ligase *(RGLG),TraesCS7D02G377600
small subunit *(SAE1),TraesCS7A02G352700
small subunit *(SAE1),TraesCS7B02G275300
small subunit *(SAE1),TraesCS7D02G370300
E3 SUMO ubiquitin ligase *(SIZ1),TraesCS5A02G155100
E3 SUMO ubiquitin ligase *(SIZ1),TraesCS5B02G153300
E3 SUMO ubiquitin ligase *(SIZ1),TraesCS5D02G160100
small subunit *(AXR1/AXL),TraesCS5A02G318500
small subunit *(AXR1/AXL),TraesCS5A02G476800
small subunit *(AXR1/AXL),TraesCS5B02G319000
small subunit *(AXR1/AXL),TraesCS5B02G489700
small subunit *(AXR1/AXL),TraesCS5D02G324800
small subunit *(AXR1/AXL),TraesCS5D02G490100
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G028200
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G028600
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G029200
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G062400
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G129900
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G198500
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G248100
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G248300
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G271600
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G336400
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G354700
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G396000
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G426200
ATL-subclass E3 ubiquitin ligase,TraesCS5A02G470400
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G069700
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G129800
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G197200
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G245800
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G246000
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G271900
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G335400
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G400800
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G428100
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G442500
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G483000
ATL-subclass E3 ubiquitin ligase,TraesCS5B02G548200
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G035800
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G036200
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G036400
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G073600
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G137400
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G204500
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G254900
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G255200
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G279300
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G341100
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G362000
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G405300
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G434200
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G446700
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G483100
ATL-subclass E3 ubiquitin ligase,TraesCS5D02G535300
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G050800
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G095500
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G095600
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G122800
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G172100
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G256500
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G261400
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G264300
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G290900
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G308200
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G315600
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G352200
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G397900
ATL-subclass E3 ubiquitin ligase,TraesCS6A02G420200
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G067200
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G123500
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G123700
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G151000
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G225000
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G268900
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G288700
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G291300
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G336900
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G346000
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G385100
ATL-subclass E3 ubiquitin ligase,TraesCS6B02G437700
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G086300
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G113000
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G187600
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G237700
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G242100
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G250600
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G272200
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G287400
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G294800
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G334900
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G382100
ATL-subclass E3 ubiquitin ligase,TraesCS6D02G382200
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G129900
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G152600
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G156900
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G176700
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G189900
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G190800
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G253700
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G273000
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G346500
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G346700
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G346800
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G346900
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G347000
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G347100
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G347200
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G347700
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G347900
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G348000
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G348100
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G352100
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G478200
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G503800
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G526000
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G534800
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G551400
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G555800
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G556100
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G556400
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G556600
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G556700
ATL-subclass E3 ubiquitin ligase,TraesCS7A02G563700
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G029900
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G056400
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G061100
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G081700
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G094900
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G095700
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G150000
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G171000
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G234600
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G235200
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G235300
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G235600
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G236000
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G236100
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G236200
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G236600
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G276000
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G327800
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G371200
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G443600
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G452400
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G475300
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G480500
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G480600
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G480700
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G480900
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G481000
ATL-subclass E3 ubiquitin ligase,TraesCS7B02G481100
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G129000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G154300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G157300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G178000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G191100
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G191800
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G212200
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G252300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G273100
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G330900
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G331000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G331100
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G331300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G331800
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G331900
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G332000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G332200
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G332500
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G332600
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G370800
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G420000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G457000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G514900
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G522000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G537300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G538000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G547300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554000
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554100
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554200
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554300
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554400
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554500
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554600
ATL-subclass E3 ubiquitin ligase,TraesCS7D02G554700
BTL-subclass E3 ubiquitin ligase,TraesCS5A02G145800
BTL-subclass E3 ubiquitin ligase,TraesCS5A02G467700
BTL-subclass E3 ubiquitin ligase,TraesCS5B02G144700
BTL-subclass E3 ubiquitin ligase,TraesCS5B02G480100
BTL-subclass E3 ubiquitin ligase,TraesCS5D02G146400
BTL-subclass E3 ubiquitin ligase,TraesCS5D02G480800
BTL-subclass E3 ubiquitin ligase,TraesCS7D02G000400
CTL-subclass E3 ubiquitin ligase,TraesCS5A02G312800
CTL-subclass E3 ubiquitin ligase,TraesCS5A02G325400
CTL-subclass E3 ubiquitin ligase,TraesCS5B02G313800
CTL-subclass E3 ubiquitin ligase,TraesCS5B02G325800
CTL-subclass E3 ubiquitin ligase,TraesCS5D02G319600
CTL-subclass E3 ubiquitin ligase,TraesCS5D02G331600
CTL-subclass E3 ubiquitin ligase,TraesCS6A02G121400
CTL-subclass E3 ubiquitin ligase,TraesCS6B02G149700
CTL-subclass E3 ubiquitin ligase,TraesCS6D02G111500
CTL-subclass E3 ubiquitin ligase,TraesCS7A02G005100
CTL-subclass E3 ubiquitin ligase,TraesCS7A02G054700
CTL-subclass E3 ubiquitin ligase,TraesCS7A02G271500
CTL-subclass E3 ubiquitin ligase,TraesCS7A02G428300
CTL-subclass E3 ubiquitin ligase,TraesCS7B02G170500
CTL-subclass E3 ubiquitin ligase,TraesCS7B02G328500
CTL-subclass E3 ubiquitin ligase,TraesCS7D02G049800
CTL-subclass E3 ubiquitin ligase,TraesCS7D02G271800
CTL-subclass E3 ubiquitin ligase,TraesCS7D02G420400
E3 ubiquitin ligase *(BRIZ),TraesCS6A02G145300
E3 ubiquitin ligase *(BRIZ),TraesCS6B02G173500
E3 ubiquitin ligase *(BRIZ),TraesCS6D02G134300
E3 ubiquitin ligase *(RFI2),TraesCS7A02G268500
E3 ubiquitin ligase *(RFI2),TraesCS7B02G163800
E3 ubiquitin ligase *(RFI2),TraesCS7D02G266300
E3 ubiquitin ligase *(RIE1),TraesCS6A02G255700
E3 ubiquitin ligase *(RIE1),TraesCS6A02G298300
E3 ubiquitin ligase *(RIE1),TraesCS6B02G269900
E3 ubiquitin ligase *(RIE1),TraesCS6B02G327800
E3 ubiquitin ligase *(RIE1),TraesCS6D02G236900
E3 ubiquitin ligase *(RIE1),TraesCS6D02G278100
E3 ubiquitin ligase *(BRH),TraesCS6A02G258800
E3 ubiquitin ligase *(BRH),TraesCS6B02G266600
E3 ubiquitin ligase *(BRH),TraesCS6D02G240000
E3 ubiquitin ligase *(DRR1),TraesCS5A02G183200
E3 ubiquitin ligase *(DRR1),TraesCS5B02G181400
E3 ubiquitin ligase *(DRR1),TraesCS5D02G188300
E3 ubiquitin ligase *(DRR1),TraesCS6A02G346000
E3 ubiquitin ligase *(DRR1),TraesCS6B02G378600
E3 ubiquitin ligase *(DRR1),TraesCS6B02G379400
E3 ubiquitin ligase *(DRR1),TraesCS6D02G328700
E3 ubiquitin ligase *(AIRP1),TraesCS6A02G399600
E3 ubiquitin ligase *(AIRP1),TraesCS6B02G439800
E3 ubiquitin ligase *(AIRP1),TraesCS6D02G383800
E3 ubiquitin ligase *(CHY),TraesCS5A02G095000
E3 ubiquitin ligase *(CHY),TraesCS5B02G101200
E3 ubiquitin ligase *(CHY),TraesCS5D02G107600
E3 ubiquitin ligase *(XBAT3),TraesCS6A02G352300
E3 ubiquitin ligase *(XBAT3),TraesCS6B02G385200
E3 ubiquitin ligase *(XBAT3),TraesCS6D02G335000
E3 ubiquitin ligase *(XBAT3),TraesCS7A02G060700
E3 ubiquitin ligase *(XBAT3),TraesCS7A02G145900
E3 ubiquitin ligase *(XBAT3),TraesCS7B02G048300
E3 ubiquitin ligase *(XBAT3),TraesCS7D02G055500
E3 ubiquitin ligase *(XBAT3),TraesCS7D02G147400
E3 ubiquitin ligase *(HUB),TraesCS6A02G251200
E3 ubiquitin ligase *(HUB),TraesCS6B02G274100
E3 ubiquitin ligase *(HUB),TraesCS6D02G233000
E3 ubiquitin ligase *(RMA/MUSE),TraesCS5A02G010000
E3 ubiquitin ligase *(RMA/MUSE),TraesCS5A02G049400
E3 ubiquitin ligase *(RMA/MUSE),TraesCS5B02G007600
E3 ubiquitin ligase *(RMA/MUSE),TraesCS5B02G054600
E3 ubiquitin ligase *(RMA/MUSE),TraesCS5D02G014800
